1,3
1,4
1,5
1,9
1,11
1,12
1,14
1,15
1,18
1,21
1,25
1,28
1,29
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,15
2,16
2,20
2,22
2,30
2,31
2,33
2,34
3,1
3,5
3,6
3,8
3,12
3,15
3,16
3,17
3,21
3,27
3,31
3,33
3,38
3,40
4,1
4,7
4,10
4,15
4,17
4,22
4,25
4,27
4,30
4,33
4,36
4,39
5,1
5,2
5,3
5,10
5,11
5,14
5,15
5,16
5,18
5,21
5,22
5,24
5,25
5,31
5,32
5,39
6,2
6,3
6,9
6,10
6,13
6,14
6,19
6,25
6,27
6,29
6,32
6,40
7,2
7,4
7,8
7,13
7,17
7,19
7,20
7,23
7,24
7,26
7,33
7,35
7,38
8,2
8,3
8,7
8,9
8,13
8,14
8,15
8,20
8,26
8,28
8,31
8,32
8,33
8,35
8,38
8,40
9,1
9,2
9,6
9,8
9,13
9,15
9,16
9,19
9,23
9,24
9,30
9,31
9,37
9,38
9,39
10,2
10,4
10,5
10,6
10,14
10,20
10,27
10,29
10,32
10,37
10,38
10,39
11,1
11,2
11,5
11,14
11,20
11,22
11,24
11,25
11,33
11,35
12,1
12,3
12,14
12,24
12,25
12,33
12,34
12,40
13,6
13,7
13,8
13,9
13,17
13,18
13,25
13,26
13,27
13,28
13,31
13,34
13,37
13,39
14,1
14,5
14,6
14,8
14,10
14,11
14,12
14,16
14,18
14,21
14,22
14,39
14,40
15,1
15,2
15,3
15,4
15,5
15,8
15,9
15,20
15,21
15,22
15,23
15,26
15,27
15,30
15,34
16,2
16,3
16,5
16,9
16,14
16,18
16,27
16,28
16,30
16,34
16,36
16,38
17,3
17,4
17,7
17,13
17,18
17,20
17,22
17,24
17,30
17,31
17,32
18,1
18,5
18,13
18,14
18,16
18,17
18,19
18,20
18,21
18,22
18,25
18,28
18,31
18,34
18,35
19,6
19,7
19,9
19,18
19,20
19,23
19,27
19,37
20,2
20,7
20,8
20,10
20,11
20,15
20,17
20,18
20,19
20,25
20,31
20,34
20,36
20,40
21,1
21,3
21,5
21,14
21,15
21,18
21,23
21,24
21,29
21,30
21,32
21,40
22,2
22,4
22,5
22,11
22,14
22,15
22,17
22,18
22,23
22,33
22,34
22,35
22,36
22,37
22,40
23,7
23,9
23,15
23,19
23,21
23,22
23,24
23,29
23,30
23,31
23,32
23,33
23,34
23,36
23,40
24,5
24,7
24,9
24,11
24,12
24,17
24,21
24,23
24,31
24,32
24,37
24,39
24,40
25,1
25,4
25,5
25,6
25,11
25,12
25,13
25,18
25,20
25,29
25,33
26,7
26,8
26,13
26,15
26,30
26,31
26,33
26,34
26,35
26,36
26,39
26,40
27,3
27,4
27,6
27,10
27,13
27,15
27,16
27,19
28,1
28,8
28,13
28,16
28,18
28,30
28,31
28,35
28,36
29,1
29,6
29,10
29,21
29,23
29,25
29,31
29,32
29,35
29,36
30,2
30,4
30,9
30,15
30,16
30,17
30,21
30,23
30,26
30,28
30,33
30,34
30,39
31,2
31,3
31,5
31,8
31,9
31,13
31,17
31,18
31,20
31,23
31,24
31,26
31,28
31,29
31,34
32,5
32,6
32,8
32,10
32,17
32,21
32,23
32,24
32,29
32,33
33,2
33,3
33,4
33,7
33,8
33,11
33,12
33,22
33,23
33,25
33,26
33,30
33,32
33,40
34,2
34,12
34,13
34,15
34,16
34,18
34,20
34,22
34,23
34,26
34,30
34,31
34,39
35,7
35,8
35,11
35,18
35,22
35,26
35,28
35,29
35,39
36,4
36,16
36,20
36,22
36,23
36,26
36,28
36,29
36,38
36,39
37,9
37,10
37,13
37,19
37,22
37,24
37,39
38,3
38,7
38,8
38,9
38,10
38,16
38,36
39,4
39,5
39,9
39,10
39,13
39,14
39,24
39,26
39,30
39,34
39,35
39,36
39,37
39,40
40,3
40,6
40,8
40,12
40,14
40,20
40,21
40,22
40,23
40,24
40,26
40,33
40,39
